TSPAN6	-0.00116244899470201
TNMD	0.00477163182126375
DPM1	0.000354466558152817
SCYL3	-0.000150688982820783
C1orf112	0.000605268195422224
FUCA2	-6.41412980610274e-07
GCLC	0.000885546956440464
NFYA	-0.000286536596091843
STPG1	0.000814087421738207
NIPAL3	-0.00018009103839901
LAS1L	3.28367389146497e-05
ENPP4	-0.000336636836979313
SEMA3F	0.000764133220269605
CFTR	-0.00338387824712298
ANKIB1	-0.00012008859173627
CYP51A1	-0.000290942279573323
KRIT1	1.1930186449564e-06
RAD52	-0.000297559581653613
BAD	-0.000109410725208677
LAP3	0.000398118926017309
CD99	-0.000847293968666209
HS3ST1	0.00221956961066693
MAD1L1	0.000620370720191614
LASP1	0.00095402522138459
SNX11	-0.000126963487591402
TMEM176A	-0.0141866856575387
M6PR	-0.000476762277101227
KLHL13	-0.00268657496731886
ICA1	0.000172976139697584
DBNDD1	0.0013002365681519
ALS2	0.00060785307679299
CASP10	0.00176998234463592
CFLAR	0.00244429176752074
TFPI	-0.00127367076141808
NDUFAF7	0.000555095895418497
RBM5	-0.000734478611621053
MTMR7	-0.000217890682260226
SLC7A2	-0.000688426809280596
ARF5	0.000362822019051547
SARM1	-0.00197102592239053
POLDIP2	0.000187572972758229
PLXND1	0.000808095916693168
AK2	-0.000741247497662278
FKBP4	0.000565158536812603
KDM1A	-0.00283492638516353
RBM6	-0.00065870293861302
CAMKK1	-0.000688571944528974
RECQL	0.000522370903743413
VPS50	-9.08197494269796e-05
HSPB6	-0.000651860734117584
ARHGAP33	-0.000908045229705934
NDUFAB1	-3.70665418685861e-05
ZMYND10	-0.000580752303957696
ARX	-0.00581919094501722
SLC25A13	0.00129759521517507
ST7	-0.00114198225781998
CDC27	-0.000359276947809269
CALCR	0.00848613794869246
HCCS	-0.000373241219866198
DVL2	-0.00014799612395601
PRSS22	-0.000574145521085588
UPF1	0.000341841895261124
SKAP2	-0.000433385959244499
SLC25A5	-0.000914157516239256
MCUB	-0.000118558819905117
POLR2J	0.000264329702587425
DHX33	0.00059000002810301
MEOX1	-0.00832519942571038
THSD7A	0.00181214415325992
LIG3	-0.000232217477396758
RPAP3	4.13087966352824e-05
ACSM3	-0.00183520801955558
REXO5	-0.000285555332927021
CIAPIN1	1.98140268112766e-05
FAM214B	0.000177908247183327
COPZ2	-0.00153628076893903
PRKAR2B	-0.000992485002082095
MSL3	-0.000774360534311037
CREBBP	0.000307520330069018
TSPOAP1	-0.00189088177101339
MPO	-0.00376647161553013
GCFC2	-0.000218828839817459
WDR54	-0.000269224706287876
CROT	-0.00118629877785141
KMT2E	-0.000607329170948823
RHBDD2	-0.000254659643611391
SOX8	-0.00134894395586204
IBTK	0.000485514916870241
ZNF195	0.000546597246538411
MYCBP2	0.000168857214464585
FBXL3	0.000342497094993835
PDK2	-0.000280343635112382
ITGA3	-0.000233971430471947
ZFX	-0.000974854127810132
LAMP2	-0.00156955846162127
ITGA2B	-0.00118502914137734
GDE1	-0.000330644829053564
REX1BD	0.000189559627980154
CRLF1	0.000221441063951648
OSBPL7	-0.000358347010706339
TMEM98	-0.000708997574885093
YBX2	0.0006250964189735
ABCC8	-0.00277450691440124
TMEM132A	-0.00122836866645417
AP2B1	0.00080611982136188
TAC1	-0.00129859994124459
ZNF263	0.000133070823193672
CX3CL1	-0.00177945404439138
SPATA20	-0.00030566206627312
CACNA1G	-0.000448075216498194
TNFRSF12A	0.0010677635588409
MAP3K9	0.00151920629731403
RALA	0.000548628486608304
BAIAP2L1	0.000438867707281695
KDM7A	0.0015384168746832
ETV1	0.000164932617204951
AGK	0.000184521042180532
PHTF2	-0.00116412085086314
CCL26	0.00675867206271668
FARP2	0.000196949065349726
USH1C	-0.00384626684091663
GGCT	-0.000437889695289781
DBF4	0.000339093483624334
IFRD1	-7.87096360349003e-06
COX10	3.95835515683811e-05
GTF2IRD1	-0.000210273705772995
PAF1	-0.000449597217738787
VPS41	0.000196605049037188
ARHGAP44	0.000127731067404444
ELAC2	2.63125180594857e-05
ARSD	-0.000966395726473385
PNPLA4	5.54056161203319e-05
ADIPOR2	0.000137381818359836
CDKL3	-0.000301700366766024
MARK4	-0.000239688301673323
PROM1	-0.000553867424204565
CCDC124	0.000420590344388787
PAFAH1B1	0.000131809195039365
NOS2	-0.0021775807112783
KIAA0100	-0.000576897117407208
GAS7	0.00117225536318347
TRAPPC6A	-0.000387588866131119
MATK	0.0026245294674221
SCN4A	0.00265762943965389
ST7L	-0.000969229768870804
PAX6	-0.00135549815113624
RPUSD1	0.000418753595800129
RHBDF1	0.000672430506267111
LUC7L	-0.000506106686553607
CACNA2D2	0.000463998834255154
BAIAP3	0.001371222283175
TSR3	0.000299429053215355
PIGQ	0.000377877490466434
CRAMP1	-7.20641073723073e-05
TEAD3	0.000433857760263053
DNAJC11	0.000393145019338749
MYLIP	-0.00137146300009316
PSMB1	0.00037890033156964
SYN1	0.000159953549106584
JARID2	0.00121845197367731
CDKL5	9.61204224968851e-05
CAMK1G	-0.00476155477051457
CDK11A	-0.000141959475717457
NADK	-0.000370353372090033
TFAP2B	-0.0058093643427024
CYTH3	-0.000243509952855098
ADAM22	-0.000449199695527228
SYPL1	0.000520213169885568
CYB561	0.000717590110861889
SPAG9	-9.84576138009632e-05
CELSR3	-0.000371646342257476
AASS	-0.000325927581857576
PLEKHG6	0.000250047932867882
SS18L2	-0.000182607011160074
MPND	-2.65160626842511e-05
MGST1	0.000649018459063989
CRY1	0.000246962442084101
NFIX	-0.00221987536723965
ST3GAL1	-0.00103047854308825
